No,CasNo,CName,EName,File
001-01,1336-36-3,多氯聯苯,Polychlorinated biphenyls ,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/001-01.pdf
002-01,57-74-9,可氯丹,Chlordane,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/002-01.pdf
003-01,1332-21-4,石綿,Asbestos,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/003-01.pdf
004-01,60-57-1,地特靈,Dieldrin,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/004-01.pdf
005-01,50-29-3,滴滴涕,"4,4-Dichlorodiphenyl-trichloroethane(DDT)",http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/005-01.pdf
006-01,8001-35-2,毒殺芬,Toxaphene,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/006-01.pdf
007-01,87-86-5,五氯酚,Pentachlorophenol,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/007-01.pdf
007-02,3772-94-9,月桂酸五氯苯酯,Pentachlorophenyl laurate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/007-02.pdf
008-01,131-52-2,五氯酚鈉,Sodium pentachlorophenate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/008-01.pdf
009-01,22967-92-6,甲基汞,Methyl mercury,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/009-01.pdf
010-01,72-20-8,安特靈,Endrin,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/010-01.pdf
011-01,76-44-8,飛佈達,Heptachlor,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/011-01.pdf
012-01,319-84-6、319-85-7、319-86-8、6108-10-7,蟲必死,Hexachlorocyclohexane,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/012-01.pdf
013-01,309-00-2,阿特靈,Aldrin,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/013-01.pdf
014-01,96-12-8,二溴氯丙烷,"1,2-Dibromo-3-chloropropane(DBCP)",http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/014-01.pdf
015-01,21609-90-5,福賜松,Leptophos,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/015-01.pdf
016-01,510-15-6,克氯苯,Chlorobezilate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/016-01.pdf
017-01,1836-75-5,護谷,Nitrofen,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/017-01.pdf
018-01,88-85-7,達諾殺,Dinoseb,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/018-01.pdf
019-01,58-89-9,靈丹,"Lindane (r-BHC, or r-HCH)",http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/019-01.pdf
022-01,7439-97-6,汞,Mercury,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/022-01.pdf
023-01,82-68-8,五氯硝苯,Pentachloronitrobenzene,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/023-01.pdf
024-01,1596-84-5,亞拉生長素,Daminozide,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/024-01.pdf
025-01,21725-46-2,氰乃淨,Cyanazine,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/025-01.pdf
026-01,299-84-3,樂乃松,Fenchlorphos,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/026-01.pdf
027-01,2425-06-1,四氯丹,Captafol,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/027-01.pdf
028-01,133-06-2,蓋普丹,Captan,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/028-01.pdf
029-01,133-07-3,福爾培,Folpet,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/029-01.pdf
030-01,13121-70-5,鍚蟎丹,Cyhexatin,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/030-01.pdf
031-01,5798-79-8,α-氰溴甲苯,α-Bromombenzyl cyanide,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/031-01.pdf
032-01,542-88-1,二氯甲醚,Bis-Chloromethyl ether,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/032-01.pdf
033-01,92-93-3,對-硝基聯苯,P-Nitrobiphenyl,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/033-01.pdf
034-01,92-67-1,對-胺基聯苯,P-Aminobiphenyl,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/034-01.pdf
034-02,2113-61-3,對-胺基聯苯鹽酸鹽,P-Aminobiphenyl Hydrochloride,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/034-02.pdf
035-01,91-59-8,2-萘胺,2-Naphthylamine,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/035-01.pdf
035-02,553-00-4,2-萘胺醋酸鹽,2-Naphthylamine Acetate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/035-02.pdf
035-03,612-52-2,2-萘胺鹽酸鹽,2-Naphthylamine Hydrochloride,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/035-03.pdf
036-01,92-87-5,聯苯胺,Benzidine,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/036-01.pdf
036-02,36341-27-2,聯苯胺醋酸鹽,Benzidine Acetate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/036-02.pdf
036-03,531-86-2,聯苯胺硫酸鹽,Benzidine Sulfate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/036-03.pdf
036-04,531-85-1,聯苯胺二鹽酸鹽,Benzidine Dihydrochloride,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/036-04.pdf
036-05,41766-73-8,聯苯胺二氫氟酸鹽,Benzidine Dihydrofluoride,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/036-05.pdf
036-06,29806-76-6,聯苯胺過氯酸鹽(一),Benzidine Perchlorate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/036-06.pdf
036-07,38668-12-1,聯苯胺過氯酸鹽(二),Benzidine perchlorate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/036-07.pdf
036-08,41195-21-5,聯苯胺二過氯酸鹽,Benzidine Diperchlorate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/036-08.pdf
037-01,7440-43-9,鎘,Cadmium,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/037-01.pdf
037-02,1306-19-0,氧化鎘,Cadmium oxide,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/037-02.pdf
037-03,513-78-0,碳酸鎘,Cadmium carbonate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/037-03.pdf
037-04,1306-23-6,硫化鎘,Cadmium sulfide,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/037-04.pdf
037-05,10124-36-4,硫酸鎘,Cadmium Sulfate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/037-05.pdf
037-06,10325-94-7,硝酸鎘,Cadmium nitrate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/037-06.pdf
037-07,10108-64-2,氯化鎘,Cadmium Chloride,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/037-07.pdf
038-01,62-53-3,苯胺,Aniline,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/038-01.pdf
039-01,95-53-4,鄰-甲苯胺,o-Aminotoluene,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/039-01.pdf
039-02,108-44-1,間-甲苯胺,m-Aminotoluene,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/039-02.pdf
039-03,106-49-0,對-甲苯胺,p-Aminotoluene,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/039-03.pdf
040-01,134-32-7,1-萘胺,1-Naphthylamine,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/040-01.pdf
041-01,119-90-4,二甲氧基聯苯胺,"3,3'-Dimethoxybenzidine",http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/041-01.pdf
042-01,91-94-1,二氯聯苯胺,"3,3'-Dichlorobenzidine",http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/042-01.pdf
054-01,67-66-3,三氯甲烷,Chloroform,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/054-01.pdf
043-01,119-93-7,鄰-二甲基聯苯胺,"3,3'-Dimethyl-(1,1'-biphenyl)-4,4'-diamine",http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/043-01.pdf
044-01,98-07-7,三氯甲苯,Trichloromethyl benzene,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/044-01.pdf
045-01,1327-53-3,三氧化二砷,Arsenic trioxide,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/045-01.pdf
045-02,1303-28-2,五氧化二砷,Arsenic pentoxide,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/045-02.pdf
046-01,143-33-9,氰化鈉,Sodium cyanide,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/046-01.pdf
046-02,151-50-8,氰化鉀,Potassium cyanide,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/046-02.pdf
046-03,506-64-9,氰化銀,Silver Cyanide,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/046-03.pdf
046-04,544-92-3,氰化亞銅,Copper(I) Cyanide,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/046-04.pdf
046-05,13682-73-0,氰化鉀銅,Copper(I) Potassium Cyanide,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/046-05.pdf
046-06,542-83-6,氰化鎘,Cadmium Cyanide,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/046-06.pdf
046-07,557-21-1,氰化鋅,Zinc Cyanide,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/046-07.pdf
046-08,14763-77-0,氰化銅,Copper(II) Cyanide,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/046-08.pdf
046-09,14264-31-4,氰化銅鈉,Copper Sodium Cyanide,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/046-09.pdf
047-01,75-44-5,光氣,Phosgene,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/047-01.pdf
048-01,624-83-9,異氰酸甲酯,Methyl isocyanate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/048-01.pdf
049-01,7782-50-5,氯,Chlorine,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/049-01.pdf
050-01,79-06-1,丙烯醯胺,Acrylamide,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/050-01.pdf
051-01,107-13-1,丙烯腈,Acrylonitrile,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/051-01.pdf
052-01,71-43-2,苯,Benzene,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/052-01.pdf
053-01,56-23-5,四氯化碳,Carbon tetrachloride,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/053-01.pdf
055-01,1333-82-0,三氧化鉻(鉻酸),Chromium(VI)trioxide,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-01.pdf
055-02,7778-50-9,重鉻酸鉀,Potassium dichromate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-02.pdf
055-03,7789-12-0、10588-01-9,重鉻酸鈉,"Sodium dichromate, dihydrate Sodium dichromate",http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-03.pdf
055-04,7789-09-5,重鉻酸銨,Ammonium dichromate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-04.pdf
055-05,14307-33-6,重鉻酸鈣,Calcium dichromate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-05.pdf
055-06,13675-47-3,重鉻酸銅,Cupric dichromate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-06.pdf
055-07,13843-81-7,重鉻酸鋰,Lithium dichromate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-07.pdf
055-08,7789-10-8,重鉻酸汞,Mercuric dichromate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-08.pdf
055-09,14018-95-2,重鉻酸鋅,Zinc dichromate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-09.pdf
055-10,7788-98-9,鉻酸銨,Ammonium chromate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-10.pdf
055-11,10294-40-3,鉻酸鋇,Barium chromate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-11.pdf
055-12,13765-19-0,鉻酸鈣,Calcium chromate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-12.pdf
055-13,13548-42-0,鉻酸銅,Cupric chromate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-13.pdf
055-14,10294-52-7,鉻酸鐵,Ferric chromate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-14.pdf
055-15,7758-97-6,鉻酸鉛,Lead chromate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-15.pdf
055-16,18454-12-1,鉻酸氧鉛,Lead chromate oxide,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-16.pdf
055-17,14307-35-8,鉻酸鋰,Lithium chromate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-17.pdf
055-18,7789-00-6,鉻酸鉀,Potassium Chromate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-18.pdf
055-19,7784-01-2,鉻酸銀,Silver chromate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-19.pdf
055-20,7775-11-3,鉻酸鈉,Sodium Chromate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-20.pdf
055-21,38455-77-5,鉻酸錫,Stannic chromate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-21.pdf
055-22,7789-06-2,鉻酸鍶,Strontium chromate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-22.pdf
055-23,13530-65-9,鉻酸鋅(鉻酸鋅氫氧化合物),Zinc chromate(Zinc chromate hydroxide),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-23.pdf
055-24,13007-92-6,六羰化鉻,Chromium carbonyl,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-24.pdf
055-25,37337-13-6,鉻化砷酸銅,Chromated Copper Arsenate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-25.pdf
055-26,12656-85-8,鉬鉻紅,Lead chromate molybdate sulphate red(C.I. Pigment Red 104),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-26.pdf
055-27,1344-37-2,硫鉻酸鉛,Lead sulfochromate yellow(C.I. Pigment Yellow 34),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/055-27.pdf
056-01,88-06-2,"2,4,6-三氯酚","2,4,6-Trichlorophenol",http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/056-01.pdf
056-02,95-95-4,"2,4,5-三氯酚","2,4,5-Trichlorophenol",http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/056-02.pdf
057-01,107-30-2,氯甲基甲基醚,Chloromethyl methyl ether,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/057-01.pdf
058-01,118-74-1,六氯苯,Hexachlorobenzene,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/058-01.pdf
059-01,12035-72-2,次硫化鎳,Nickel sulfide,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/059-01.pdf
060-01,106-93-4,二溴乙烷(二溴乙烯),Ethylene dibromide,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/060-01.pdf
061-01,75-21-8,環氧乙烷,Ethylene oxide,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/061-01.pdf
062-01,106-99-0,"1,3-丁二烯","1,3-Butadiene",http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/062-01.pdf
063-01,127-18-4,四氯乙烯,Tetrachloroethylene,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/063-01.pdf
064-01,79-01-6,三氯乙烯,Trichloroethylene,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/064-01.pdf
065-01,75-01-4,氯乙烯,Vinyl chloride,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/065-01.pdf
066-01,50-00-0,甲醛,Formaldehyde,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/066-01.pdf
067-01,101-14-4,"4,4'-亞甲雙(2-氯苯胺)","4,4'-Methylenebis(2-chloroaniline)",http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/067-01.pdf
068-01,117-81-7,鄰苯二甲酸二(2-乙基己基)酯,Di(2-ethylhexyl)phthalate (DEHP),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/068-01.pdf
068-02,117-84-0,鄰苯二甲酸二辛酯,Di-n-octyl phthalate (DNOP、DOP),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/068-02.pdf
068-03,85-68-7,鄰苯二甲酸丁基苯甲酯,Benzyl butyl phthalate (BBP),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/068-03.pdf
068-04,28553-12-0、68515-48-0,鄰苯二甲酸二異壬酯,Di-isononyl phthalate(DINP),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/068-04.pdf
068-05,26761-40-0、68515-49-1,鄰苯二甲酸二異癸酯,Di-isodecyl phthalate (DIDP),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/068-05.pdf
068-06,84-66-2,鄰苯二甲酸二乙酯,Diethyl phthalate(DEP),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/068-06.pdf
068-07,68515-42-4,鄰苯二甲酸二烷基酯(C7-11支鏈及直鏈),"1,2-Benzenedicarboxylic acid, di-C7-11-branched and linear alkyl esters(DHNUP)",http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/068-07.pdf
068-08,71888-89-6,鄰苯二甲酸二烷基酯(C6-8支鏈及直鏈，富含C7),"1,2-Benzenedicarboxylic acid, di-C6-8-branched alkyl esters, C7-rich (DIHP)",http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/068-08.pdf
068-09,131-16-8,鄰苯二甲酸二丙酯,Di-n-propyl Phthalate (DPP),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/068-09.pdf
068-10,84-69-5,鄰苯二甲酸二異丁酯,Diisobutyl phthalate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/068-10.pdf
068-11,131-18-0,鄰苯二甲酸二戊酯,Di-n-pentyl Phthalate (DNPP),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/068-11.pdf
068-12,84-75-3,鄰苯二甲酸二己酯,Di-n-hexyl Phthalate (DNHP),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/068-12.pdf
068-13,84-61-7,鄰苯二甲酸二環己酯,Dicyclohexyl Phthalate (DCHP),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/068-13.pdf
068-14,27554-26-3,鄰苯二甲酸二異辛酯,Di-iso-octyl Phthalate （DIOP）,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/068-14.pdf
073-01,85-44-9,鄰苯二甲酐,Phthalic anhydride,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/073-01.pdf
068-15,84-76-4,鄰苯二甲酸二正壬酯,Di-n-nonyl phthalate (DNP),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/068-15.pdf
068-16,146-50-9,鄰苯二甲酸二(4-甲基-2-戊基)酯,Bis(4-methyl-2-pentyl) phthalate(BMPP),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/068-16.pdf
068-17,117-82-8,鄰苯二甲酸二甲氧乙酯,Bis(2-methoxyethyl) phthalate (BMEP),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/068-17.pdf
068-18,605-54-9,鄰苯二甲酸雙-2-乙氧基乙酯,Bis(2-ethoxyethyl) phthalate (BEEP),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/068-18.pdf
068-19,75673-16-4,鄰苯二甲酸己基2-乙基己基酯,Hexyl 2-ethylhexyl phthalate (HEHP),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/068-19.pdf
068-20,117-83-9,鄰苯二甲酸二丁氧基乙酯,Bis(2-n-butoxyethyl) phthalate (BBEP),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/068-20.pdf
068-21,84-62-8,鄰苯二甲酸二苯酯,Diphenyl phthalate (DPP),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/068-21.pdf
068-22,523-31-9,鄰苯二甲酸二苄酯,Dibenzyl phthalate (DBZP),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/068-22.pdf
068-23,4376-20-9,鄰苯二甲酸單(2-乙基己基)酯,Mono(2-ethylhexyl) phthalate (MEHP),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/068-23.pdf
068-24,131-70-4,鄰苯二甲酸單丁酯,Mono-n-Butyl phthalate (MNBP),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/068-24.pdf
069-01,541-73-1,"1,3二氯苯","1,3-Dichlorobenzene",http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/069-01.pdf
069-02,95-50-1,鄰-二氯苯,"o-Dichlorobenzene (1,2-Dichloro benzene)",http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/069-02.pdf
070-01,120-82-1,"1,2,4-三氯苯","1,2,4-Trichlorobenzene",http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/070-01.pdf
071-01,110-80-5,乙二醇乙醚,2-Ethoxyethanol (Ethylene glycol monoethyl ether),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/071-01.pdf
071-02,109-86-4,乙二醇甲醚,2-Methoxyethanol (Ethylene glycol monomethyl ether),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/071-02.pdf
072-01,106-89-8,環氧氯丙烷,"1-Chloro-2,3-epoxypropane",http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/072-01.pdf
074-01,26471-62-5、584-84-9,二異氰酸甲苯（65:35混合物）,Toluene diisocyanate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/074-01.pdf
075-01,107-06-2,"1,2-二氯乙烷","1,2-Dichloroethane(Ethylene dichloride)",http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/075-01.pdf
076-01,79-34-5,"1,1,2,2-四氯乙烷","1,1,2,2-Tetrachloroethane",http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/076-01.pdf
077-01,540-59-0、156-59-2、156-60-5,"1,2-二氯乙烯","1,2-Dichloroethylene",http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/077-01.pdf
077-02,75-35-4,"1,1-二氯乙烯","1,1-Dichloroethylene",http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/077-02.pdf
078-01,74-87-3,氯甲烷,Chloromethane (Methyl chloride),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/078-01.pdf
079-01,75-09-2,二氯甲烷,Dichloromethane (Methylenechloride,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/079-01.pdf
080-01,131-11-3,鄰苯二甲酸二甲酯,Dimethyl phthalate (DMP),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/080-01.pdf
080-02,84-74-2,鄰苯二甲酸二丁酯,Dibutyl phthalate (DBP),http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/080-02.pdf
081-01,98-82-8,異丙苯,Cumene,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/081-01.pdf
082-01,110-82-7,環己烷,Cyclohexane,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/082-01.pdf
083-01,79-11-8,氯乙酸,Chloroacetic acid,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/083-01.pdf
084-01,541-41-3,氯甲酸乙酯,Ethyl chloroformate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/084-01.pdf
085-01,51-28-5,"2,4-二硝基酚","2,4-Dinitrophenol",http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/085-01.pdf
086-01,77-78-1,硫酸二甲酯,Dimethyl sulfate,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/086-01.pdf
087-01,151-56-4,次乙亞胺,Ethyleneimine,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/087-01.pdf
088-01,108-60-1,二氯異丙醚,Bis(2-chloro-1-methylethyl)ether,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/088-01.pdf
089-01,75-15-0,二硫化碳,Carbon disulfide,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/089-01.pdf
090-01,108-90-7,氯苯,Chlorobenzene,http://opendata2.epa.gov.tw/data/toxic_s_01/TOXIC/090-01.pdf
